'a'ba 阿爸
'guang'gun'lao'yu'zhe'mao'pi'chai 光棍佬遇着冇皮柴
'guang'meng 光猛
'guang'xian 光鲜
'gui'da'gui 鬼打鬼
'gui'gan 鬼咁
'gui'wu'ma'liu 鬼五马六
'gun'shui 滚水
'guo'zhan 果占
'han'ku'han'hu 喊苦喊忽
'hao'fan 好翻
'hao'jia 好夹
'hao'ren'hao'jie 好人好姐
'hao'xin'zhe'lei'pi 好心着雷劈
'hao'zai 好在
'he'bao 荷包
'he'li'huo 何里活
'hei'chen'chen 黑沉沉
'hei'gu'le'te 黑古勒特
'hei'ma'ma 黑麻麻
'hei'qu'qu 黑黢黢
'heng'dian 横惦
'heng'dian'ce'ce'bo 横掂侧侧膊
'hong'dang'dang 红当当
'hong'fen'fei'fei 红粉绯绯
'hong'tou 吽哣
'hou'di'na 后底乸
'hou'hou'ji'ji 猴猴急急
'hou'qin 猴擒
'hou'sheng'nv 后生女
'hou'sheng'zai 后生仔
'hua'chan'chan 滑潺潺
'hua'chen 花臣
'hua'er'zi 華爾滋
'hua'jia 花假
'hua'li'hua'lu 花哩花碌
'hua'ling 花令
'hua'sa 花洒
'hua'tou'xing'wei 话头醒尾
'hua'xue 化学
'hua'zun 花樽
'huai'ao'lian 怀奥莲
'huan'xi 欢喜
'huan'yu 鲩鱼
'huang'huang'mang'mang 慌慌忙忙
'huang'jian'jian 黃黚黚
'huang'qin'qin 黄禽禽
'huang'shi'shi 慌失失
'hui'qi 悔气
'hun'hun'dun'dun 混混沌沌
'huo'gun 火滚
'huo'lu 镬黸
'huo'qi 火起
'huo'shui 火水
'ji'bi 鸡髀
'ji'bo'bo 趌跛跛
'ji'chun 鸡春
'ji'duo 几多
'ji'gong 鸡公
'ji'guan 即管
'ji'ji'gu'gu 叽叽咕咕
'ji'lao 基佬
'ji'lao 基老
'ji'lian 忌廉
'ji'na 鸡乸
'ji'qi 激气
'ji'shen 鸡肾
'ji'shi 畸士
'ji'sui 鸡碎
'ji'wei'jiu 鸡尾酒
'ji'yi 鸡翼
'ji'yong 挤拥
'jia'jie 家姐
'jia'nian'hua'hui 嘉年华会
'jia'shi 架势
'jia'shou'jia'jiao 夹手夹脚
'jia'si 傢俬
'jia'si 家俬
'jia'wan 夹万
'jiang'xiao 讲笑
'jiao'dou'qi 噍唞气
'jiao'guan 交关
'jiao'ji 蕉积
'jiao'ji'wu 交际舞
'jiao'jiao'di'di 娇娇滴滴
'jie'la 芥辣
'jie'zhi 喼汁
'jing'cha 警察
'jing'ji'ji 静鸡鸡
'jing'ke 颈渴
'jing'xi 净系
'jing'yi 经已
'jing'ying'ying 静英英
'jiu'ao 酒凹
